Date,Sydney,London,Melbourne,Singapore,Stockholm,Paris,Dublin,Manchester,Sao Paulo
"Nov 23, 2023",0,0,0,0,,0,0,0,0
"Nov 24, 2023",0.09897872912443798,0.43745370767528846,0.3104031412899977,-0.07508914326098362,,0.290402834850502,-0.039758535186303644,-1.5656003017517388,1.115275191753315
"Nov 26, 2023",-0.5348671852614376,-0.2507985688838202,-0.3743722183659304,-0.8949126770818833,,-0.7557319430507791,-1.281985134556844,,2.982956993262067
"Nov 27, 2023",-0.8457410492877281,-0.5141006210810971,-0.7596327902767003,-1.2220389981689492,,-1.0104649507918522,-1.870016904964961,,3.774342023743192
"Nov 28, 2023",-1.1128208937800466,-1.0273602006837108,-0.9858213221183292,-1.5586685798113267,,-1.169177666364614,-2.4927994561275186,,4.483831340783819
"Dec 4, 2023",-0.6095080424639265,-1.8746814555400244,-0.5893321356144434,-0.7747165083682233,,1.2940220612476152,-2.7445529289293424,,9.421781797980179
"Dec 6, 2023",-0.5715862420274013,-1.7646171607224659,-0.6852857512283423,-0.660811230444699,,1.6509004829838712,-2.8967583136311075,,9.817638432886955
"Dec 7, 2023",-0.49135616423818573,-1.785418919956961,-0.5944360513385869,-0.5841159023011275,,2.0009331803253882,-2.996609901999763,,10.14243125232332
"Dec 11, 2023",-0.30882212482356813,0.06184458338449669,-0.388237856083187,-0.46753364957329024,,3.1034551091622813,-3.4703738212808317,,11.206008749219405
"Dec 13, 2023",-0.39952314750943624,-0.18749618026995188,-0.5981789228696256,-0.5162545910117894,,2.518145673412107,-3.8500526572966014,,11.377513800412432
"Dec 14, 2023",-0.9667229126206723,-0.2870194218905155,-0.8896975759802922,-0.5436935827559991,,2.368440489937686,-4.047934832422326,,11.573390622038152
"Dec 15, 2023",-0.8989447693031515,-0.22724940748627842,-0.9764641432907327,-0.17855421944768657,,2.512561003511136,-4.235497998415728,,11.609332828938893
"Dec 18, 2023",-0.7376356181925592,-0.896438077199758,-0.8902079675527065,0.2567218837336303,,3.393857944012783,-4.756607959598044,,10.237292419394677
"Dec 21, 2023",-0.22668180708699018,-0.9842428075534495,-1.4945115892913041,0.21107946332009123,,5.198607075236312,-4.766775218596068,,8.349998317773421
"Dec 23, 2023",0.630803680395632,-2.263859382350352,-1.5224980605120249,0.2947349259548769,,6.209972779237999,-4.544613021982524,,6.961710061274077
"Dec 28, 2023",4.34544213211078,-7.198249736613843,1.3983027778911983,0.28081465697244856,,7.961397320439352,-3.196464828871374,,2.228170648346535
"Dec 29, 2023",4.408055552607655,-8.181483294393113,1.2857614361738325,-0.1880574800029982,,7.765393421979459,-3.4890390877995925,,1.4216045487406688
"Jan 2, 2024",4.502011058166806,-10.031269922170022,1.160034978835763,-1.6217113364529012,,9.041400419030394,-4.58012255340846,,-1.4161065399225192
"Jan 5, 2024",4.257854093042835,-12.309819495677887,0.7941692866767384,-2.3463684159804687,,9.051308704338567,-4.782557232563152,,-3.1683301562501285
"Jan 9, 2024",3.961413153063282,-16.220718440058693,0.31882460223483455,-2.643378770519012,,8.886831168222868,-5.140232299105585,,-4.628831065883379
"Feb 7, 2024",-2.980115817140512,-8.853923991156728,-3.7753664611489937,-3.201394168478086,,20.487811908317735,-7.935166272622151,,-7.490995984812367
"Feb 8, 2024",-2.883896323495598,-8.630543374471475,-2.940876240251521,-3.005975007763227,,21.388204816867866,-7.8445714424457265,,-7.346652738377661
"Feb 9, 2024",-2.7847053454881197,-8.875230375278315,-2.376553291685381,-2.7422929895383823,,22.139793295153407,-7.745933855151462,,-7.278296897399771
"Feb 10, 2024",-2.6713644419446245,-9.374809013497593,-1.8770500728158643,-2.6722900984055937,,22.79139816714737,-7.551541933114611,,-7.174327088853567
"Feb 11, 2024",-2.4637142847035767,-9.810244221624522,-1.2168585738978945,-2.753803981196929,,23.50785727024938,-7.285372197554395,,-7.002493798328113
"Feb 12, 2024",-2.1899132255816505,-9.786470782499384,-0.6944727995318009,-2.794226300742057,,23.67539736727852,-7.240302407667631,,-7.196647363458593
"Feb 13, 2024",-2.0211753635646494,-9.897880743682517,-0.28097056061410314,-2.90478536016019,,23.775561124212068,-7.292504453866441,,-7.459485008899389
"Feb 14, 2024",-1.650942561914768,-9.611197738383396,0.26472309555891277,-2.8151067042156996,,24.228639988758598,-6.992039187954681,,-7.646745548048904
"Feb 15, 2024",-1.2455471953078847,-9.637045746488793,1.110186735263294,-2.7863292250693337,,24.81575093092844,-6.625259113354315,,-7.849679515321801
"Feb 16, 2024",-0.8456702996600481,-9.147054981124224,2.642467300913261,-2.661983745408988,,25.03805682311549,-6.280331058092986,,-7.838847617351716
"Feb 17, 2024",0.08886153236618592,-8.700405886617517,5.905655819144448,-2.4604075426442087,,24.751257001104324,-5.9091502295979526,,-7.708044243379618
"Feb 18, 2024",1.1516624393764128,-8.423927517923996,8.912542702761558,-2.2273768859287495,,24.346458508604897,-5.726898318305012,,-7.776728323689936
"Feb 19, 2024",2.0031342085062276,-7.931862183579169,11.051423652225987,-2.043870263093084,,24.72441455545127,-5.430378555885022,,-7.911224390151836
"Feb 20, 2024",2.7441658088274314,-7.511846069224442,12.146809031889266,-1.7388289841416011,,25.301437061670967,-5.335382971813931,,-7.666768147326943
"Feb 27, 2024",12.80044713764694,-6.818491474362533,16.358475222190464,,,,,,
"Feb 28, 2024",14.023495951352555,-6.643218430246543,17.105943679991288,1.5636209831993062,,28.759788935507874,-4.6215503400720515,-10.679906316611259,-6.623377369375107
